id,annotator,x,y,z
T4_001,draft_A,1.49,0.60,0.42
T4_001,draft_B,1.46,0.63,0.42
T4_001,draft_C,1.49,0.66,0.42
T4_002,draft_A,1.49,0.60,0.42
T4_002,draft_B,1.46,0.63,0.42
T4_002,draft_C,1.49,0.66,0.42
T4_003,draft_A,1.49,0.60,0.42
T4_003,draft_B,1.46,0.63,0.42
T4_003,draft_C,1.49,0.66,0.42
T4_004,draft_A,1.49,0.60,0.42
T4_004,draft_B,1.46,0.63,0.42
T4_004,draft_C,1.49,0.66,0.42
T4_005,draft_A,1.49,0.60,0.42
T4_005,draft_B,1.46,0.63,0.42
T4_005,draft_C,1.49,0.66,0.42
T4_006,draft_A,1.49,0.75,0.42
T4_006,draft_B,1.46,0.75,0.42
T4_006,draft_C,1.49,0.80,0.42
T4_007,draft_A,1.49,0.75,0.42
T4_007,draft_B,1.46,0.75,0.42
T4_007,draft_C,1.49,0.80,0.42
T4_008,draft_A,1.49,0.75,0.42
T4_008,draft_B,1.46,0.75,0.42
T4_008,draft_C,1.49,0.80,0.42
T4_009,draft_A,1.49,0.75,0.42
T4_009,draft_B,1.46,0.75,0.42
T4_009,draft_C,1.49,0.80,0.42
T4_010,draft_A,1.49,0.75,0.42
T4_010,draft_B,1.46,0.75,0.42
T4_010,draft_C,1.49,0.80,0.42
T4_011,draft_A,1.34,0.75,0.42
T4_011,draft_B,1.31,0.75,0.42
T4_011,draft_C,1.34,0.78,0.42
T4_012,draft_A,1.34,0.75,0.42
T4_012,draft_B,1.31,0.75,0.42
T4_012,draft_C,1.34,0.78,0.42
T4_013,draft_A,1.49,0.60,0.42
T4_013,draft_B,1.46,0.63,0.42
T4_013,draft_C,1.49,0.66,0.42
T4_014,draft_A,1.49,0.60,0.42
T4_014,draft_B,1.46,0.63,0.42
T4_014,draft_C,1.49,0.66,0.42
T4_015,draft_A,1.49,0.60,0.42
T4_015,draft_B,1.46,0.63,0.42
T4_015,draft_C,1.49,0.66,0.42
T4_016,draft_A,1.34,0.60,0.42
T4_016,draft_B,1.31,0.60,0.42
T4_016,draft_C,1.37,0.63,0.42
T4_017,draft_A,1.34,0.60,0.42
T4_017,draft_B,1.31,0.60,0.42
T4_017,draft_C,1.37,0.63,0.42
T4_018,draft_A,1.34,0.60,0.42
T4_018,draft_B,1.31,0.60,0.42
T4_018,draft_C,1.37,0.63,0.42
T4_019,draft_A,1.34,0.60,0.42
T4_019,draft_B,1.31,0.60,0.42
T4_019,draft_C,1.37,0.63,0.42
T4_020,draft_A,1.34,0.60,0.42
T4_020,draft_B,1.31,0.60,0.42
T4_020,draft_C,1.37,0.63,0.42
